date,temp_max,temp_min,temp_mean,humidity,precipitation,wind_speed,pressure
2021-07-09,36.6,27.5,31.7,58,0.0,17.8,1001.1
2021-07-10,38.0,28.5,33.2,57,0.0,14.2,1000.1
2021-07-11,34.9,27.5,30.7,75,22.9,14.4,999.7
2021-07-12,33.9,26.5,29.5,84,21.0,17.7,998.4
2021-07-13,35.4,27.2,30.4,77,2.8,20.5,998.6
2021-07-14,34.4,26.6,30.2,73,2.9,14.4,999.7
2021-07-15,34.0,27.3,30.2,79,5.5,12.1,999.4
2021-07-16,35.1,26.7,30.1,75,1.5,17.9,1001.3
2021-07-17,35.5,26.7,30.8,70,0.8,17.7,1002.9
2021-07-18,31.3,27.7,29.1,81,5.4,18.5,1001.8
2021-07-19,33.6,26.5,29.9,71,2.1,22.4,1000.1
2021-07-20,33.0,26.9,29.1,72,0.9,25.1,1001.4
2021-07-21,33.6,26.4,29.7,74,3.2,28.6,999.8
2021-07-22,34.5,26.8,30.4,72,2.5,24.5,997.6
2021-07-23,33.2,27.3,29.4,77,1.9,13.7,997.9
2021-07-24,33.4,25.8,28.6,83,14.2,22.8,999.5
2021-07-25,27.2,26.0,26.5,95,51.0,18.5,1000.1
2021-07-26,29.3,25.2,26.6,90,72.5,21.8,1000.4
2021-07-27,30.6,25.4,27.2,85,5.9,21.5,999.6
2021-07-28,30.5,25.5,27.8,79,2.2,24.9,999.7
2021-07-29,30.9,25.8,27.6,80,3.2,29.0,1000.7
2021-07-30,31.4,25.6,28.0,78,2.7,26.8,1001.7
2021-07-31,29.7,25.8,27.5,80,2.5,25.4,1003.1
2021-08-01,30.2,25.6,27.6,79,3.3,28.5,1001.9
2021-08-02,29.5,25.4,27.0,82,2.3,20.6,1002.4
2021-08-03,29.1,25.4,27.3,80,1.1,23.6,1003.7
2021-08-04,31.0,25.7,28.0,78,1.3,22.9,1003.5
2021-08-05,31.9,25.0,28.3,77,0.6,18.1,1002.4
2021-08-06,31.6,25.5,28.2,77,0.3,13.4,1002.3
2021-08-07,31.5,25.6,28.3,75,0.0,12.0,1003.5
2021-08-08,32.6,26.0,28.9,75,0.2,11.6,1005.0
2021-08-09,33.2,26.2,29.1,72,0.1,14.8,1006.1
2021-08-10,32.7,26.0,28.8,72,0.3,14.5,1005.8
2021-08-11,32.5,25.7,28.7,72,1.3,17.1,1005.5
2021-08-12,32.4,26.0,28.9,70,0.5,15.5,1006.3
2021-08-13,33.3,26.4,29.3,68,0.0,17.1,1005.0
2021-08-14,33.4,25.6,29.2,67,0.0,15.7,1002.9
2021-08-15,34.1,25.7,29.6,65,0.6,14.8,1003.4
2021-08-16,33.8,25.9,29.4,69,0.5,11.4,1005.6
2021-08-17,35.4,26.6,30.8,61,0.0,15.4,1005.3
2021-08-18,35.1,27.0,30.4,61,0.0,15.8,1003.8
